time,prey,predator
0.0,20.0,5.0
0.05,19.04311450594089,5.403742887694752
0.1,17.985411713992434,5.81069843969155
0.15000000000000002,16.849171789364142,6.2140627516317775
0.2,15.659364995133213,6.606824783535788
0.25,14.442057077500214,6.982191155293011
0.30000000000000004,13.222749030031826,7.333996278607981
0.35000000000000003,12.024866357309918,7.657045470796301
0.4,10.868574496037844,7.947351983127648
0.45,9.77002530288454,8.202249359291073
0.5,8.741056601555622,8.420382291950236
0.55,7.789294634717543,8.60159671677987
0.6000000000000001,6.918562243052508,8.746760063580547
0.65,6.129477665240528,8.857544921107287
0.7000000000000001,5.420135370333892,8.936205546732042
0.75,4.786782199199267,8.98536931218849
0.8,4.224429878035306,9.007856867837454
0.8500000000000001,3.727371522369893,9.006537346822311
0.9,3.289591036298718,8.984219250826696
0.9500000000000001,2.905069007811862,8.943573968365861
1.0,2.5679972768892703,8.887086930394709
1.05,2.2729181435593477,8.817030766584692
1.1,2.014804714388298,8.735455030678454
1.1500000000000001,1.7890974967611062,8.64418773194215
1.2000000000000002,1.5917100458137072,8.544844765234819
1.25,1.4190139150379961,8.438844198613761
1.3,1.2678107467307194,8.327423157989385
1.35,1.1352972519653726,8.211655701394225
1.4000000000000001,1.0190271333666128,8.09247059322735
1.4500000000000002,0.9168726863852452,7.970668282160021
1.5,0.8269878290924126,7.846936674189684
1.55,0.7477735973701802,7.721865495510493
1.6,0.6778466429361546,7.595959177969627
1.6500000000000001,0.6160109338707753,7.469648289607824
1.7000000000000002,0.5612326382367039,7.343299587629136
1.75,0.5126180371013189,7.2172248015584906
1.8,0.46939423798863206,7.09168826816451
1.85,0.4308924243845932,6.9669135426713575
1.9000000000000001,0.396533367582575,6.843089106933978
1.9500000000000002,0.3658149341130916,6.7203732874414275
2.0,0.338301338494969,6.598898486166202
2.0500000000000003,0.3136139125094206,6.4787748166593975
2.1,0.2914231856360445,6.360093227204696
2.15,0.2714420948021237,6.242928182770267
2.2,0.25342016404220946,6.127339968201482
2.25,0.23713851541307038,6.01337666669995
2.3000000000000003,0.22240559126563983,5.901075860165413
2.35,0.20905348466174947,5.7904660914095345
2.4000000000000004,0.19693478939224499,5.68156812252582
2.45,0.1859198938332371,5.574396018742391
2.5,0.17589465393594247,5.4689580828130975
2.5500000000000003,0.16675839016457125,5.36525766133661
2.6,0.1584221613574696,5.2632938412561
2.6500000000000004,0.1508072754616051,5.163062052113481
2.7,0.14384400303808642,5.0645545873485345
2.75,0.13747046449946154,4.967761055988508
2.8000000000000003,0.1316316663444591,4.872668774418704
2.85,0.12627866531328003,4.779263106516636
2.9000000000000004,0.12136784249251777,4.6875277592345945
2.95,0.11686027203600781,4.5974450396964555
3.0,0.11272117140729083,4.508996079007283
3.0500000000000003,0.10891942195145109,4.42216102723577
3.1,0.10542715022037898,4.336919223400247
3.1500000000000004,0.10221936184974084,4.253249343752374
3.2,0.09927362095518634,4.171129531194627
3.25,0.09656976901095708,4.0905375082763635
3.3000000000000003,0.09408967802260962,4.011450675878704
3.35,0.09181703352945243,3.9338461994119243
3.4000000000000004,0.08973714359046502,3.8577010841035904
3.45,0.08783677043592217,3.7829922407449557
3.5,0.08610398191921283,3.7096965430821633
3.5500000000000003,0.0845280202908498,3.637790877883118
3.6,0.08309918614908111,3.5672521885768065
3.6500000000000004,0.0818087357070137,3.498057513246243
3.7,0.08064878976166787,3.430184017656379
3.75,0.07961225296176469,3.363609023912028
3.8000000000000003,0.07869274215328106,3.298310035266143
3.85,0.07788452273911013,3.23426475753404
3.9000000000000004,0.07718245212512603,3.1714511175129614
3.95,0.07658192944261942,3.1098472787575484
4.0,0.07607885083904067,3.0494316550192893
4.05,0.07566956971747303,2.9901829216210056
4.1000000000000005,0.07535086138214477,2.93208002500514
4.15,0.07511989161418982,2.8751021906664103
4.2,0.07497418876015653,2.8192289296547233
4.25,0.07491161896662508,2.76444004381266
4.3,0.07493036423873502,2.7107156298928965
4.3500000000000005,0.07502890303931212,2.6580360826843137
4.4,0.07520599317936418,2.6063820972609593
4.45,0.07546065678062697,2.5557346704551547
4.5,0.07579216711713792,2.5060751016447473
4.55,0.07620003716596924,2.4573849929345144
4.6000000000000005,0.07668400971767661,2.4096462488029258
4.65,0.07724404891506705,2.362841075277683
4.7,0.07788033310486803,2.3169519786965664
4.75,0.07859324890105512,2.271961764104019
4.800000000000001,0.07938338637119707,2.2278535333284983
4.8500000000000005,0.08025153526840724,2.184610682780815
4.9,0.0811986822415216,2.1422169010094203
4.95,0.08222600896510847,2.100656166044815
5.0,0.08333489113898646,2.0599127425618824
5.050000000000001,0.08452689831419997,2.019971178885929
