time,S,I,R
62.0,0.061587107238236426,0.012662067453357528,0.9257508253084066
62.5,0.06145027012552315,0.012057465006253622,0.9264922648682238
63.0,0.061320251034935665,0.011481456095561872,0.9271982928695031
63.5,0.06119670033097335,0.010932714822284775,0.9278705848467425
64.0,0.061079287225222094,0.010409974214469165,0.9285107385603093
64.5,0.060967698677417,0.00991202386182172,0.9291202774607619
65.0,0.06086163836779697,0.00943770761890491,0.9297006540132987
65.5,0.060760825735536976,0.00898592137797824,0.9302532528864854
66.0,0.06066499507846956,0.00855561091207457,0.9307793940094565
66.5,0.06057389470969509,0.008145769788490681,0.9312803355018149
67.0,0.0604872861670338,0.007755437352517774,0.931757276480449
67.5,0.0604049434715951,0.00738369678093485,0.9322113597474706
68.0,0.0603266524320343,0.0070296732045301,0.9326436743634362
68.5,0.060252209991335334,0.006692531898697388,0.9330552581099679
69.0,0.06018142361320417,0.006371476540972091,0.9334470998458244
69.5,0.06011411070538195,0.006065747534218705,0.9338201417604001
70.0,0.060050098077392554,0.005774620394058224,0.9341752815285499
70.5,0.05998922143042755,0.005497404199022921,0.9345133743705502
71.0,0.05993132487724386,0.005233440101846946,0.9348352350209098
71.5,0.05987626049010749,0.004982099900240488,0.9351416396096527
72.0,0.059823887874961804,0.004742784665450786,0.9354333274595881
72.5,0.059774073770131914,0.004514923426882886,0.9357110028029859
73.0,0.05972669166799901,0.004297971911035026,0.9359753364209666
73.5,0.05968162145819089,0.0040914113329960505,0.9362269672088137
74.0,0.05963874909093842,0.003894747238754011,0.9364665036703083
74.5,0.0595979662593427,0.0037075083965747158,0.9366945253440833
75.0,0.05955917009938562,0.0035292457357253204,0.9369115841648897
75.5,0.05952226290659707,0.0033595313308400895,0.9371182057625635
76.0,0.05948715186836679,0.003197957430252292,0.9373148907013816
76.5,0.0594537488109576,0.003044135526647033,0.937502115662396
77.0,0.05942196996034031,0.0028976954684239538,0.9376803345712365
77.5,0.05939173571602946,0.0027582846101955505,0.9378499796737757
78.0,0.059362970437153176,0.0026255670008858084,0.9380114625619618
78.5,0.05933560224004104,0.0024992226079344334,0.9381651751520252
79.0,0.0593095628066602,0.002378946576153816,0.9383114906171867
79.5,0.05928478720327332,0.00226444851982854,0.9384507642768988
80.0,0.0592612137087319,0.00215545184669052,0.9385833344445782
80.5,0.05923878365185582,0.0020516931124463507,0.9387095232356985
81.0,0.059217441257384436,0.0019529214045770336,0.9388296373380391
81.5,0.05919713350001655,0.0018588977541736038,0.9389439687458104
82.0,0.059177809966086736,0.0017693945746152346,0.9390527954592987
82.5,0.059159422722452934,0.0016841951259389271,0.9391563821516088
83.0,0.05914192619219633,0.0016030930037918042,0.9392549808040125
83.5,0.05912527703675866,0.0015258916518982133,0.9393488313113437
84.0,0.0591094340441644,0.0014524038970142048,0.939438162058822
84.5,0.059094358022996445,0.0013824515053814238,0.9395231904716228
85.0,0.05908001170181351,0.0013158647597309803,0.9396041235384561
85.5,0.0590663596337155,0.0012524820559253937,0.9396811583103597
86.0,0.05905336810578059,0.0011921495183632106,0.9397544823758568
86.5,0.05904100505311346,0.001134720633306346,0.9398242743135807
87.0,0.05902923997725936,0.0010800558993245822,0.9398907041234166
87.5,0.059018043868752396,0.0010280224940849602,0.9399539336371632
88.0,0.05900738913357986,0.0009784939567460246,0.9400141169096746
88.5,0.058997249523356624,0.0009313498852480222,0.9400714005913958
89.0,0.058987600069015114,0.0008864756478202287,0.9401259242831651
89.5,0.05897841701782741,0.0008437621080555884,0.9401778208741175
90.0,0.058969677773585916,0.0008031053629308109,0.9402272168634838
