time,S,I,R,event
0.0,180,6,0,start
0.007999376764733215,179,7,0,infection
0.0628803019288732,178,8,0,infection
0.09314899116912825,177,9,0,infection
0.10388166820061955,176,10,0,infection
0.13687354587258038,176,9,1,recovery
0.19459680200547255,175,10,1,infection
0.3486372315775353,174,11,1,infection
0.7916802778808685,173,12,1,infection
0.9786765976816786,172,13,1,infection
1.1214652429918524,171,14,1,infection
1.207979090018316,171,13,2,recovery
1.324118673842675,170,14,2,infection
1.5597288402283869,170,13,3,recovery
1.5979878122198687,169,14,3,infection
1.6664209519700386,168,15,3,infection
1.8437671428620703,167,16,3,infection
1.8560675245572453,167,15,4,recovery
1.8961773454295676,166,16,4,infection
1.9242900803550558,165,17,4,infection
1.9632596569366252,164,18,4,infection
2.080446633625063,163,19,4,infection
2.096219785091475,163,18,5,recovery
2.097952102898738,162,19,5,infection
2.1026148168499614,161,20,5,infection
2.185282925766247,161,19,6,recovery
2.2268043513228655,160,20,6,infection
2.2884857003349413,159,21,6,infection
2.32075260275378,158,22,6,infection
2.379369275725694,157,23,6,infection
2.5654292639463714,157,22,7,recovery
2.7237648761510327,157,21,8,recovery
2.765010062717594,157,20,9,recovery
2.9610102922197483,157,19,10,recovery
2.9639499727772156,156,20,10,infection
2.9661220248231897,155,21,10,infection
3.053523715895766,154,22,10,infection
3.0613413542421153,153,23,10,infection
3.1663029775306826,152,24,10,infection
3.2581391776795523,151,25,10,infection
3.285998559146206,151,24,11,recovery
3.344495493081457,151,23,12,recovery
3.401624029714397,150,24,12,infection
3.4114725425982684,149,25,12,infection
3.4284059610629036,149,24,13,recovery
3.456680650020486,148,25,13,infection
3.6004815634407077,147,26,13,infection
3.672239708902253,146,27,13,infection
3.715879134646432,146,26,14,recovery
3.759331579174426,145,27,14,infection
3.809047194214426,145,26,15,recovery
3.821527441378344,144,27,15,infection
3.822698832475713,144,26,16,recovery
3.8646190380735255,143,27,16,infection
3.9660034757978018,142,28,16,infection
4.042564212432733,141,29,16,infection
4.186744535072649,140,30,16,infection
4.234501784345412,139,31,16,infection
4.271129274899958,138,32,16,infection
4.285798798852168,137,33,16,infection
4.333021337391724,136,34,16,infection
4.336637755566709,136,33,17,recovery
4.3734578202925585,135,34,17,infection
4.386007379564437,134,35,17,infection
4.438813140170613,134,34,18,recovery
4.43940130832992,133,35,18,infection
4.453694545213176,132,36,18,infection
4.590454335857773,131,37,18,infection
4.591817592589582,131,36,19,recovery
4.594668565322761,130,37,19,infection
4.601237929592824,130,36,20,recovery
4.656644306671832,129,37,20,infection
4.760234311914327,129,36,21,recovery
4.766830068201236,128,37,21,infection
4.829369992718728,127,38,21,infection
4.837201680668172,126,39,21,infection
4.837999887960755,125,40,21,infection
4.845611816717001,124,41,21,infection
4.868070368418924,123,42,21,infection
4.925999031711494,123,41,22,recovery
4.943069094919922,123,40,23,recovery
4.962763384354493,122,41,23,infection
5.064696361365915,121,42,23,infection
5.099821469054028,121,41,24,recovery
5.122447444727712,120,42,24,infection
5.143678033412453,119,43,24,infection
5.225662829978441,118,44,24,infection
5.242148182518913,118,43,25,recovery
5.270680802127141,117,44,25,infection
5.288279509862296,116,45,25,infection
5.3474010684805,115,46,25,infection
5.348423610891512,115,45,26,recovery
5.351275544824179,115,44,27,recovery
5.397342533543493,114,45,27,infection
5.409336241060654,113,46,27,infection
5.434695237198061,112,47,27,infection
5.469403385333898,111,48,27,infection
5.552220428574718,110,49,27,infection
5.567614729687272,109,50,27,infection
5.689642467132524,108,51,27,infection
5.731072694926613,107,52,27,infection
5.755328110101722,107,51,28,recovery
5.7999578996073815,107,50,29,recovery
5.850981452451145,106,51,29,infection
5.885685040298531,105,52,29,infection
5.90510109923214,105,51,30,recovery
5.929218263515923,104,52,30,infection
5.977252843590232,104,51,31,recovery
