time,S,I,R,event
0.0,180,6,0,start
0.9027805501509736,179,7,0,infection
0.9968961108750439,178,8,0,infection
1.4096804442769966,177,9,0,infection
1.519188829210965,176,10,0,infection
1.6148768116495178,175,11,0,infection
1.7842515834556645,174,12,0,infection
1.9108016633546168,173,13,0,infection
2.0760054372411165,172,14,0,infection
2.0938337769248774,171,15,0,infection
2.2085878231034606,170,16,0,infection
2.23518670410353,169,17,0,infection
2.379861319364844,168,18,0,infection
2.5268065029574602,167,19,0,infection
2.5390211980126165,166,20,0,infection
2.5630158398532816,165,21,0,infection
2.6189054336704443,164,22,0,infection
2.6832154648247832,163,23,0,infection
2.701730274059818,162,24,0,infection
2.7478074058171718,161,25,0,infection
2.811309111546347,161,24,1,recovery
2.8265706513968842,160,25,1,infection
3.047958725071487,159,26,1,infection
3.1244587794698195,158,27,1,infection
3.1754450943873627,157,28,1,infection
3.2138921299873413,156,29,1,infection
3.218427775331528,155,30,1,infection
3.2327828481447343,154,31,1,infection
3.3500475989273846,153,32,1,infection
3.4047031115026334,152,33,1,infection
3.4506906627672858,151,34,1,infection
3.4694777491292674,151,33,2,recovery
3.6270302328067725,150,34,2,infection
3.662519844404561,149,35,2,infection
3.709702914610133,148,36,2,infection
3.713040343300419,148,35,3,recovery
3.7528469167287044,148,34,4,recovery
3.9180679902950963,147,35,4,infection
3.9193113374014197,146,36,4,infection
3.9933048021651394,145,37,4,infection
4.004562398370371,144,38,4,infection
4.022837917589124,143,39,4,infection
4.0679829203191975,142,40,4,infection
4.090661068778012,141,41,4,infection
4.0920364334206605,140,42,4,infection
4.094784199900222,140,41,5,recovery
4.0953868664567015,139,42,5,infection
4.1774812215169135,138,43,5,infection
4.187082097781003,137,44,5,infection
4.214335897579002,136,45,5,infection
4.270171523917273,135,46,5,infection
4.4083190304808575,134,47,5,infection
4.4709219976336065,133,48,5,infection
4.479313752226608,132,49,5,infection
4.542406167331379,132,48,6,recovery
4.633837334565739,131,49,6,infection
4.657967089050332,130,50,6,infection
4.708733428738356,129,51,6,infection
4.727065526456806,128,52,6,infection
4.732909002646556,127,53,6,infection
4.751699798997317,126,54,6,infection
4.799501064489913,125,55,6,infection
4.822089451411493,124,56,6,infection
4.870110188991233,123,57,6,infection
4.880993061152411,123,56,7,recovery
4.882096785292628,123,55,8,recovery
4.886476001326551,122,56,8,infection
4.923619619232556,121,57,8,infection
4.965537521724794,120,58,8,infection
5.027136446393199,119,59,8,infection
5.087932803748189,118,60,8,infection
5.118638664331461,118,59,9,recovery
5.142020999981001,117,60,9,infection
5.2032733404398614,116,61,9,infection
5.233438473017867,116,60,10,recovery
5.255759253563167,115,61,10,infection
5.268537227317164,115,60,11,recovery
5.277355557927809,114,61,11,infection
5.278646055770283,113,62,11,infection
5.298965572195677,112,63,11,infection
5.356745640191664,111,64,11,infection
5.397246980230278,110,65,11,infection
5.401251569119085,109,66,11,infection
5.450316932967486,108,67,11,infection
5.453310955476103,108,66,12,recovery
5.458094152953812,107,67,12,infection
5.465215948880233,106,68,12,infection
5.515184015200436,105,69,12,infection
5.578128733963826,104,70,12,infection
5.590526706492314,104,69,13,recovery
5.605223839970173,103,70,13,infection
5.644162722043436,103,69,14,recovery
5.677387775798959,103,68,15,recovery
5.857767590819615,102,69,15,infection
5.9168556747463885,102,68,16,recovery
5.950639033272518,101,69,16,infection
5.960670376912563,100,70,16,infection
5.967636010890985,100,69,17,recovery
5.999163011316116,99,70,17,infection
6.0338561390174625,98,71,17,infection
6.087121051197586,97,72,17,infection
6.091696006836541,97,71,18,recovery
6.099629792972975,97,70,19,recovery
6.230765882256549,96,71,19,infection
6.255104001820664,96,70,20,recovery
6.301751826898986,96,69,21,recovery
6.336622717182083,96,68,22,recovery
6.401373843567798,96,67,23,recovery
6.425303890665477,95,68,23,infection
6.46941498368178,94,69,23,infection
6.514464217235939,93,70,23,infection
6.534253742988511,93,69,24,recovery
6.549355012551155,92,70,24,infection
6.638390792309192,91,71,24,infection
6.698492422801738,91,70,25,recovery
6.7493086127620225,90,71,25,infection
6.772719544317495,89,72,25,infection
6.8650128436070705,88,73,25,infection
6.869683418924829,87,74,25,infection
6.889830530482506,87,73,26,recovery
6.891301394153861,87,72,27,recovery
6.895167923995391,87,71,28,recovery
6.94907590790056,86,72,28,infection
7.052805648433726,85,73,28,infection
7.147414336718744,84,74,28,infection
7.206182297726833,84,73,29,recovery
7.21868794596821,84,72,30,recovery
7.270753010336543,84,71,31,recovery
7.388268433706117,84,70,32,recovery
7.411817777677928,84,69,33,recovery
7.441172494813689,84,68,34,recovery
7.493471203246949,83,69,34,infection
7.56769610097626,83,68,35,recovery
7.616659485058083,82,69,35,infection
7.635486516702614,82,68,36,recovery
7.683169880490965,82,67,37,recovery
7.837897311634014,82,66,38,recovery
7.859388044309234,81,67,38,infection
7.908836103224925,80,68,38,infection
7.9153149231123745,79,69,38,infection
7.928439491874205,79,68,39,recovery
7.9317488318921665,78,69,39,infection
7.9583252893123975,77,70,39,infection
7.97005947949322,77,69,40,recovery
7.9973700688012705,76,70,40,infection
8.014844762012574,75,71,40,infection
8.056925561205514,75,70,41,recovery
8.06770178258236,74,71,41,infection
8.08655747003818,73,72,41,infection
8.087397353680894,73,71,42,recovery
8.148062031635956,73,70,43,recovery
8.231336918420377,73,69,44,recovery
8.233803624346292,73,68,45,recovery
8.285314531991721,73,67,46,recovery
8.287348284572936,73,66,47,recovery
8.324190508138724,72,67,47,infection
8.39126340119333,72,66,48,recovery
8.463213477023219,72,65,49,recovery
8.511174966975364,72,64,50,recovery
8.622443145734577,71,65,50,infection
8.638726148206006,71,64,51,recovery
8.713300801003847,70,65,51,infection
8.730224540238675,69,66,51,infection
8.782242931696254,68,67,51,infection
8.862044010576604,68,66,52,recovery
8.86689483995294,68,65,53,recovery
8.91294910544192,67,66,53,infection
8.939982815954439,67,65,54,recovery
8.972047163419512,66,66,54,infection
9.030508202748555,66,65,55,recovery
9.042426364112545,66,64,56,recovery
9.05870240188866,65,65,56,infection
9.100959205494117,65,64,57,recovery
9.14549934408523,65,63,58,recovery
9.21766943103229,65,62,59,recovery
9.232768597025215,64,63,59,infection
9.249113648180078,63,64,59,infection
9.349497132306283,63,63,60,recovery
9.358969569498976,63,62,61,recovery
9.386653330524146,63,61,62,recovery
9.389871304129526,63,60,63,recovery
9.403049130063733,62,61,63,infection
9.464239757931733,62,60,64,recovery
9.4736137290404,62,59,65,recovery
9.477214977091105,62,58,66,recovery
9.583600758023836,61,59,66,infection
9.615842583621678,61,58,67,recovery
9.723224342445763,61,57,68,recovery
9.812232117572357,61,56,69,recovery
10.004513192488496,61,55,70,recovery
10.031741143736726,60,56,70,infection
10.22017270767134,60,55,71,recovery
10.27337950085933,60,54,72,recovery
10.27794612130459,59,55,72,infection
10.294312697648433,58,56,72,infection
10.30087169232574,58,55,73,recovery
10.46427061765598,57,56,73,infection
10.474324769851524,56,57,73,infection
10.517153999524034,55,58,73,infection
10.542626946624901,54,59,73,infection
10.598408708482625,53,60,73,infection
10.659702616765525,52,61,73,infection
10.67387548249136,51,62,73,infection
11.015123381136403,51,61,74,recovery
11.063013852598212,51,60,75,recovery
11.106400824974228,51,59,76,recovery
11.205807031212865,51,58,77,recovery
11.214779694931245,50,59,77,infection
11.316490273859106,49,60,77,infection
11.400668461289518,49,59,78,recovery
11.419866243300474,48,60,78,infection
11.430770161682565,48,59,79,recovery
11.467646655300719,47,60,79,infection
11.520373553263507,47,59,80,recovery
11.611284451544023,46,60,80,infection
11.624338107331635,46,59,81,recovery
11.624742170040657,45,60,81,infection
11.646425670045437,45,59,82,recovery
11.683243447507488,45,58,83,recovery
11.714492147751267,45,57,84,recovery
11.790782430417535,45,56,85,recovery
11.804528342277427,45,55,86,recovery
11.82899137450967,45,54,87,recovery
11.957973837298011,44,55,87,infection
12.005989077255416,44,54,88,recovery
12.043825407863276,44,53,89,recovery
12.080952185886945,44,52,90,recovery
12.10580568507337,44,51,91,recovery
12.160675296593498,44,50,92,recovery
12.189341772684145,44,49,93,recovery
12.280319414513666,43,50,93,infection
12.310322897024038,42,51,93,infection
12.394321851140257,42,50,94,recovery
12.43715338554535,41,51,94,infection
12.705903248270843,41,50,95,recovery
