arrival,start,finish,wait,queue_length
0.40501804205003733,0.40501804205003733,0.96308500334676,0.0,0
1.4264008502799401,1.4264008502799401,3.009658587854493,0.0,0
2.355329651197504,2.355329651197504,2.8535326118298134,0.0,1
4.163128870776907,4.163128870776907,4.3705260344354855,0.0,0
5.084755991098749,5.084755991098749,6.191093864204691,0.0,0
5.206863713585266,5.206863713585266,8.08238296574687,0.0,1
5.86922459880203,6.191093864204691,6.2678326021134625,0.32186926540266114,2
6.694841907415495,6.694841907415495,7.825140010155254,0.0,1
7.1349756595405545,7.825140010155254,7.836965147293604,0.6901643506146993,2
7.767966242461538,7.836965147293604,11.356681427166851,0.06899890483206583,2
9.221589308756208,9.221589308756208,9.574285538748033,0.0,1
9.867828173205853,9.867828173205853,10.039548294878147,0.0,1
10.303496188111133,10.303496188111133,10.56586037587936,0.0,1
10.741013380113257,10.741013380113257,10.921799350285415,0.0,1
11.11136409100474,11.11136409100474,11.603509933239001,0.0,1
11.294113782716892,11.356681427166851,13.443959622134223,0.06256764444995966,2
12.85710454368135,12.85710454368135,13.761276771010508,0.0,1
13.774857629820282,13.774857629820282,14.738288139538389,0.0,0
14.605559861652472,14.605559861652472,14.889988470934881,0.0,1
14.792363875501636,14.792363875501636,15.162222559172495,0.0,1
15.208710233838858,15.208710233838858,15.934317251038543,0.0,0
16.647408521948172,16.647408521948172,18.292760338432682,0.0,0
16.888133987910415,16.888133987910415,17.356998375138968,0.0,1
17.600303727502954,17.600303727502954,18.940806622643503,0.0,1
17.631580469815525,18.292760338432682,18.84378423545899,0.6611798686171575,2
17.63610545111947,18.84378423545899,20.023782140275515,1.207678784339521,2
19.89472189712583,19.89472189712583,20.091857077483816,0.0,1
20.396287419248484,20.396287419248484,23.213101790158607,0.0,0
20.613525072153514,20.613525072153514,20.664634970091427,0.0,1
21.127549285699537,21.127549285699537,22.034641623834652,0.0,1
21.759263042146312,22.034641623834652,24.10179390179382,0.27537858168834006,2
22.041250585122423,23.213101790158607,24.168249101676125,1.1718512050361838,2
23.60940498986171,24.10179390179382,24.301374882035105,0.4923889119321103,2
23.64334096197813,24.168249101676125,25.040340140904494,0.5249081396979953,2
23.74822424543291,24.301374882035105,26.00577173593131,0.5531506366021937,2
25.031252177438738,25.040340140904494,26.094039200332,0.009087963465756133,2
25.670049607110816,26.00577173593131,27.139618689302857,0.3357221288204961,2
25.673936232137248,26.094039200332,26.119098738297833,0.420102968194751,2
25.71361879308462,26.119098738297833,27.359996819151853,0.4054799452132123,2
26.910904385691587,27.139618689302857,27.47646859514077,0.22871430361126954,2
27.043959788876847,27.359996819151853,28.031582111355384,0.3160370302750053,2
27.93068094052139,27.93068094052139,29.061189584360132,0.0,1
27.943051480256276,28.031582111355384,28.173681767023155,0.08853063109910764,2
28.009742511294,28.173681767023155,31.796195403979894,0.16393925572915435,2
30.8440914786036,30.8440914786036,30.896876401469903,0.0,1
31.831473725069483,31.831473725069483,36.13725493528867,0.0,0
33.74011701140081,33.74011701140081,34.025626608573965,0.0,1
35.193015630504526,35.193015630504526,35.394725760083986,0.0,1
35.19374914318865,35.394725760083986,35.47080021087321,0.20097661689533908,2
35.220124328876736,35.47080021087321,38.6493096441671,0.2506758819964716,2
35.60054142033763,36.13725493528867,37.52292161692027,0.5367135149510389,2
35.840545607768505,37.52292161692027,38.3527441491928,1.682376009151767,2
36.83111927755844,38.3527441491928,38.65553664340322,1.5216248716343586,2
38.80890177159044,38.80890177159044,38.81076785728798,0.0,0
