time,population,alpha
0.0,1.0,0.45
0.1,1.046027859908717,0.45
0.2,1.0941742837052104,0.45
0.30000000000000004,1.1445367843513146,0.45
0.4,1.1972173631218102,0.45
0.5,1.2523227161918644,0.45
0.6000000000000001,1.3099644507332475,0.45
0.7000000000000001,1.3702593109569967,0.45
0.8,1.4333294145603404,0.45
0.9,1.499302500056767,0.45
1.0,1.568312185490169,0.45
1.1,1.6404982390570442,0.45
1.2000000000000002,1.7160068621848588,0.45
1.3,1.7949909856399002,0.45
1.4000000000000001,1.8776105792643434,0.45
1.5,1.9640329759698474,0.45
1.6,2.054433210643888,0.45
1.7000000000000002,2.1489943746552203,0.45
1.8,2.2479079866764717,0.45
1.9000000000000001,2.351374380574902,0.45
2.0,2.45960311115695,0.45
2.1,2.572813378588326,0.45
2.2,2.6912344723492625,0.45
2.3000000000000003,2.8151062356240644,0.45
2.4000000000000004,2.9446795510655246,0.45
2.5,3.080216848918031,0.45
2.6,3.2219926385285005,0.45
2.7,3.370294064321607,0.45
2.8000000000000003,3.525421487365383,0.45
2.9000000000000004,3.6876890937050173,0.45
3.0,3.8574255306969745,0.45
3.1,4.034974572632203,0.45
3.2,4.220695816996553,0.45
3.3000000000000003,4.414965412778578,0.45
3.4000000000000004,4.618176822299782,0.45
3.5,4.830741618110278,0.45
3.6,5.053090316563868,0.45
3.7,5.285673249760763,0.45
3.8000000000000003,5.528961477624005,0.45
3.9000000000000004,5.783447741956775,0.45
4.0,6.0496474644129465,0.45
4.1000000000000005,6.328099790402071,0.45
4.2,6.6193686810430785,0.45
4.3,6.9240440553782765,0.45
4.4,7.242742985161014,0.45
4.5,7.576110944636845,0.45
4.6000000000000005,7.92482311784949,0.45
4.7,8.289585766119227,0.45
4.800000000000001,8.67113765846346,0.45
4.9,9.070251567856412,0.45
5.0,9.487735836358526,0.45
5.1000000000000005,9.924436012285353,0.45
5.2,10.381236562731848,0.45
5.300000000000001,10.859062664920518,0.45
5.4,11.358882080001457,0.45
5.5,11.8817071130994,0.45
5.6000000000000005,12.428596663577549,0.45
5.7,13.000658369670637,0.45
5.800000000000001,13.59905085183093,0.45
5.9,14.22498605933052,0.45
6.0,14.879731724872837,0.45
6.1000000000000005,15.564613932184574,0.45
6.2,16.28101980178843,0.45
6.300000000000001,17.0304003003962,0.45
6.4,17.814273179612204,0.45
6.5,18.634226049899006,0.45
6.6000000000000005,19.49191959603112,0.45
6.7,20.389090940549213,0.45
6.800000000000001,21.327557162026913,0.45
6.9,22.309218975275837,0.45
7.0,23.33606458094271,0.45
7.1000000000000005,24.410173692295125,0.45
7.2,25.533721747351528,0.45
7.300000000000001,26.708984314886795,0.45
7.4,27.938341703236507,0.45
7.5,29.22428378123494,0.45
7.6000000000000005,30.569415021050222,0.45
7.7,31.976459773130546,0.45
7.800000000000001,33.44826778394492,0.45
7.9,34.98781996769358,0.45
8.0,36.59823444367799,0.45
8.1,38.28277285155798,0.45
8.200000000000001,40.04484695728674,0.45
8.3,41.88802556310274,0.45
8.4,43.81604173557398,0.45
8.5,45.83280036633347,0.45
8.6,47.942386080819254,0.45
8.700000000000001,50.149071511036844,0.45
8.8,52.45732594909907,0.45
8.9,54.87182439907008,0.45
9.0,57.39745704544619,0.45
9.1,60.03933915745058,0.45
9.200000000000001,62.80282144920171,0.45
9.3,65.69350091673772,0.45
9.4,68.7172321738465,0.45
9.5,71.88013930965907,0.45
9.600000000000001,75.18862829202318,0.45
9.700000000000001,78.64939994177693,0.45
9.8,82.26946350420168,0.45
9.9,86.05615084513838,0.45
10.0,90.01713130052181,0.45
