time,S,I,R
0,215,5,0
1,215,5,0
2,215,5,0
3,213,7,0
4,213,7,0
5,212,8,0
6,211,9,0
7,209,6,5
8,209,6,5
9,209,4,7
10,209,4,7
11,209,3,8
12,209,2,9
13,209,0,11
14,209,0,11
15,209,0,11
16,209,0,11
17,209,0,11
18,209,0,11
19,209,0,11
20,209,0,11
21,209,0,11
22,209,0,11
23,209,0,11
24,209,0,11
25,209,0,11
26,209,0,11
27,209,0,11
28,209,0,11
29,209,0,11
30,209,0,11
31,209,0,11
32,209,0,11
33,209,0,11
34,209,0,11
35,209,0,11
36,209,0,11
37,209,0,11
38,209,0,11
39,209,0,11
40,209,0,11
41,209,0,11
42,209,0,11
43,209,0,11
44,209,0,11
45,209,0,11
46,209,0,11
47,209,0,11
48,209,0,11
49,209,0,11
50,209,0,11
51,209,0,11
52,209,0,11
53,209,0,11
54,209,0,11
55,209,0,11
56,209,0,11
57,209,0,11
58,209,0,11
59,209,0,11
60,209,0,11
61,209,0,11
62,209,0,11
63,209,0,11
64,209,0,11
65,209,0,11
66,209,0,11
67,209,0,11
68,209,0,11
69,209,0,11
70,209,0,11
71,209,0,11
72,209,0,11
73,209,0,11
74,209,0,11
75,209,0,11
76,209,0,11
77,209,0,11
78,209,0,11
79,209,0,11
80,209,0,11
